time,timestep,maxtimestep,icao24,outliers,callsign,heading,baroaltitude,lat,lon,velocity,vertratecorr,baroaltitudeanalysis,dbaroaltitudeanalysis,tasanalysis,dtasanalysis,baroaltitudekalman,taskalman,segment,modeltype,operator,ukalman,vkalman,tempkalman,temp_surfacekalman,temp1000kalman,temp2000kalman,temp3000kalman,temp4000kalman,temp5000kalman,temp6000kalman,temp7000kalman,temp8000kalman,temp9000kalman,temp10000kalman,temp11000kalman,tempanalysis,target_cas1,target_cas2,target_Mach,mseSpeed,n_cas1,n_cas2,n_mach,fromICAO,toICAO,distance_from_dep,trip_distance,massPast,mseEnergyRatePast,massFutur,mseEnergyRateFutur,u,v,temp,tas
1504225961,0,795,25,0.0176730486009,252,168.4574743,2957.2801317,-28.4095284029,151.931313631,149.117785324,1.33120561926,2957.59344918,11.6019166133,154.605764889,-0.136432918718,2957.27212437,156.206361471,16276,1,1,8.7016507696,8.66803136278,271.959066811,290.609015951,266.304525111,259.691187519,252.444632473,246.244407085,239.149351094,234.417275812,231.725602085,227.560319634,222.535129907,217.800074269,213.932050689,271.957813321,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,24483.1,8.16719,8.70166113874,8.66806836688,271.959035574,156.206715973
1504225976,15,795,25,0.0176730486009,252,166.09770249,3157.15618097,-28.4291152428,151.936355126,144.151630364,14.2159672849,3129.53869443,11.0920172495,152.825410131,-0.0825289233296,3136.27102584,151.765175368,16276,1,1,8.94768033185,9.2130110417,271.015390614,290.597989606,265.255291549,258.29433554,251.252451784,245.176347108,237.900143669,233.623857165,231.283320919,226.617564638,221.661657325,217.069968189,213.399313556,271.0538714,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,24627,8.07707,8.97892763421,9.25935678647,270.896185032,151.378287401
1504225991,30,795,25,0.0176730486009,252,168.793095212,3285.11733574,-28.4488722763,151.941434369,145.271152344,9.42848,3293.71744636,11.2306067566,151.868985285,-0.0714241006205,3266.68558151,152.905065965,16276,1,1,9.14218660591,9.52275278194,270.259793446,290.587111562,264.42337966,257.291188836,250.383878814,244.229881929,237.277796035,233.193248484,230.9600111,225.958202682,221.05273312,216.565931865,213.029073619,270.107763369,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,24773.2,7.83423,9.17031290872,9.56364385047,270.156085097,153.255012687
1504226006,45,795,25,0.0176730486009,252,169.748595978,3475.20883128,-28.4677687736,151.945414351,141.642452501,14.95552,3472.17602742,12.3013847245,150.35818685,-0.117447883853,3448.8314777,151.107464765,16276,1,1,9.42543201098,9.94813437347,269.229865464,290.577592258,263.160508294,255.918020099,249.207128241,242.803587539,236.423435235,232.7030443,230.242925881,225.07455551,220.214084246,215.864937193,212.504450156,269.101122923,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,24934.9,7.39747,9.46614498235,10.0062455633,269.084420315,150.214658787
1504226021,60,795,25,0.0176730486009,252,169.562524649,3659.15526929,-28.4859943101,151.949232095,139.144501831,10.6990293398,3648.37655535,10.8254241131,149.004281951,-0.0484786636475,3643.8496372,148.336330946,16276,1,1,9.75829332773,10.310872688,268.118159887,290.568813128,261.836795668,254.501824249,247.982969933,241.314023851,235.516355899,232.205335704,229.154524056,224.171404544,219.344351951,215.15197842,211.952389489,268.090858958,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,25114.5,6.6766,9.78743005458,10.3179310858,268.02590673,147.965747316
1504226036,75,795,25,0.0176730486009,252,169.638723038,3795.58717081,-28.5042082636,151.952983609,140.15648896,8.41782737891,3795.66320444,9.06077088961,148.912597853,0.0242749670288,3781.18974313,148.736485092,16276,1,1,10.0324350358,10.4041872914,267.283838574,290.560258938,260.918620362,253.543334311,247.127066239,240.277706018,234.864530738,231.85150924,228.408622679,223.568151334,218.760948625,214.722619632,211.58046926,267.197907444,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,25256.9,6.17104,10.0595127083,10.4109528023,267.198358526,149.053696463
1504226051,90,795,25,0.0176730486009,252,169.288536266,3924.3,-28.522660201,151.956813398,141.161474391,8.77824,3929.16637456,8.97585845665,149.290157504,0.0148412581624,3911.23739933,149.870549858,16276,1,1,10.2907836204,10.4978797221,266.505028009,290.551703524,259.997528185,252.640975559,246.325626359,239.310721175,234.242665515,231.523997824,227.724354243,222.926121275,218.225717043,214.324898137,211.235525193,266.400125824,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,25369.3,6.00837,10.3150768696,10.5041370395,266.428579331,150.053050046
1504226066,105,795,25,0.0176730486009,252,169.919715641,4063.92882594,-28.5422944466,151.961045814,140.555436445,9.7536,4067.54427445,9.39179110831,149.313053371,-0.00628497521679,4049.20373001,149.753705112,16276,1,1,10.5630257122,10.6013146081,265.691468877,290.54241672,258.91210852,251.68989979,245.486735468,238.301796003,233.581264447,231.188004012,227.023330096,222.26122108,217.673653129,213.909460672,210.875127325,265.585800683,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,25489.6,5.95835,10.5900851294,10.6085072419,265.606614717,149.651586525
1504226081,120,795,25,0.0176730486009,252,180.008009605,4206.51329051,-28.5604963533,151.962890625,138.375870971,9.42848,4205.03330065,8.70611871534,149.410894431,0.0312585519695,4193.44765852,149.284321154,16276,1,1,10.8396777205,10.7053120405,264.855854996,290.534991326,257.795825091,250.706138318,244.610069599,237.430796882,232.957829396,230.855232554,226.319375442,221.581409275,217.10764223,213.476780153,210.500295689,264.790134509,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,,,25621.7,5.77374,10.863444473,10.711652527,264.781625739,149.484194305
1504226096,135,795,25,0.0176730486009,252,184.726315924,4329.07117484,-28.5784871223,151.961878216,138.341529377,6.17728,4323.78968343,7.09603323737,150.48753487,0.112725761896,4316.5446905,149.887496062,16276,1,1,11.1403459316,10.6237447666,264.008094377,290.528504003,256.85605382,249.870482066,243.631278516,236.810386054,232.623437206,230.575955457,225.74072973,221.019441866,216.642050709,213.116997539,210.187577466,263.95813841,,124.027064444,0.548329554868,2.36719996274,0,32,15,0,0,,,22820.8,7.56232,25758.4,5.59994,11.1706922534,10.6104750794,263.921745514,150.1871065
